delta_mu_O_eV,gamma_T1_Jm2,gamma_T2_Jm2,gamma_T3_Jm2
-2.737749942499999811e+00,4.783279612828200023e+00,7.925132791021000100e-01,9.788096294755099791e-01
-2.710095902676799895e+00,4.763278315957999887e+00,8.125145759722499639e-01,9.788096294755099791e-01
-2.682441862853500059e+00,4.743277019087900115e+00,8.325158728424000287e-01,9.788096294755099791e-01
-2.654787823030300142e+00,4.723275722217699979e+00,8.525171697125499826e-01,9.788096294755099791e-01
-2.627133783207099782e+00,4.703274425347600207e+00,8.725184665827000474e-01,9.788096294755099791e-01
-2.599479743383799946e+00,4.683273128477400071e+00,8.925197634528500013e-01,9.788096294755099791e-01
-2.571825703560600029e+00,4.663271831607300300e+00,9.125210603229999551e-01,9.788096294755099791e-01
-2.544171663737400113e+00,4.643270534737100164e+00,9.325223571931500199e-01,9.788096294755099791e-01
-2.516517623914099833e+00,4.623269237867000392e+00,9.525236540632899818e-01,9.788096294755099791e-01
-2.488863584090899916e+00,4.603267940996800256e+00,9.725249509334400466e-01,9.788096294755099791e-01
-2.461209544267700000e+00,4.583266644126699596e+00,9.925262478035900005e-01,9.788096294755099791e-01
-2.433555504444400164e+00,4.563265347256500348e+00,1.012527544673700097e+00,9.788096294755099791e-01
-2.405901464621199803e+00,4.543264050386399688e+00,1.032528841543900011e+00,9.788096294755099791e-01
-2.378247424797999887e+00,4.523262753516200441e+00,1.052530138414000005e+00,9.788096294755099791e-01
-2.350593384974700051e+00,4.503261456646099781e+00,1.072531435284199919e+00,9.788096294755099791e-01
-2.322939345151500135e+00,4.483260159775899645e+00,1.092532732154299913e+00,9.788096294755099791e-01
-2.295285305328300218e+00,4.463258862905799873e+00,1.112534029024500049e+00,9.788096294755099791e-01
-2.267631265505099858e+00,4.443257566035599737e+00,1.132535325894600042e+00,9.788096294755099791e-01
-2.239977225681800022e+00,4.423256269165499965e+00,1.152536622764799956e+00,9.788096294755099791e-01
-2.212323185858600105e+00,4.403254972295299829e+00,1.172537919634899950e+00,9.788096294755099791e-01
-2.184669146035400189e+00,4.383253675425200058e+00,1.192539216505100086e+00,9.788096294755099791e-01
-2.157015106212099909e+00,4.363252378554999922e+00,1.212540513375200080e+00,9.788096294755099791e-01
-2.129361066388899992e+00,4.343251081684900150e+00,1.232541810245399994e+00,9.788096294755099791e-01
-2.101707026565700076e+00,4.323249784814700014e+00,1.252543107115499987e+00,9.788096294755099791e-01
-2.074052986742399796e+00,4.303248487944600242e+00,1.272544403985699901e+00,9.788096294755099791e-01
-2.046398946919199879e+00,4.283247191074400106e+00,1.292545700855799895e+00,9.788096294755099791e-01
-2.018744907095999963e+00,4.263245894204300335e+00,1.312546997726000031e+00,9.788096294755099791e-01
-1.991090867272699905e+00,4.243244597334100199e+00,1.332548294596100025e+00,9.788096294755099791e-01
-1.963436827449499988e+00,4.223243300464000427e+00,1.352549591466299939e+00,9.788096294755099791e-01
-1.935782787626300072e+00,4.203242003593800291e+00,1.372550888336399932e+00,9.788096294755099791e-01
-1.908128747803000014e+00,4.183240706723699631e+00,1.392552185206600068e+00,9.788096294755099791e-01
-1.880474707979800097e+00,4.163239409853500383e+00,1.412553482076700062e+00,9.788096294755099791e-01
-1.852820668156599959e+00,4.143238112983399724e+00,1.432554778946899976e+00,9.788096294755099791e-01
-1.825166628333299901e+00,4.123236816113299952e+00,1.452556075816999970e+00,9.788096294755099791e-01
-1.797512588510099985e+00,4.103235519243099816e+00,1.472557372687200106e+00,9.788096294755099791e-01
-1.769858548686900068e+00,4.083234222373000044e+00,1.492558669557300099e+00,9.788096294755099791e-01
-1.742204508863600010e+00,4.063232925502799908e+00,1.512559966427500013e+00,9.788096294755099791e-01
-1.714550469040400094e+00,4.043231628632700136e+00,1.532561263297600007e+00,9.788096294755099791e-01
-1.686896429217199955e+00,4.023230331762500001e+00,1.552562560167799921e+00,9.788096294755099791e-01
-1.659242389393899897e+00,4.003229034892400229e+00,1.572563857037899915e+00,9.788096294755099791e-01
-1.631588349570699981e+00,3.983227738022200093e+00,1.592565153908100051e+00,9.788096294755099791e-01
-1.603934309747500064e+00,3.963226441152099877e+00,1.612566450778200045e+00,9.788096294755099791e-01
-1.576280269924200006e+00,3.943225144281900185e+00,1.632567747648399958e+00,9.788096294755099791e-01
-1.548626230101000090e+00,3.923223847411799969e+00,1.652569044518499952e+00,9.788096294755099791e-01
-1.520972190277799951e+00,3.903222550541599833e+00,1.672570341388700088e+00,9.788096294755099791e-01
-1.493318150454499893e+00,3.883221253671500062e+00,1.692571638258800082e+00,9.788096294755099791e-01
-1.465664110631299977e+00,3.863219956801299926e+00,1.712572935128999996e+00,9.788096294755099791e-01
-1.438010070808100060e+00,3.843218659931200154e+00,1.732574231999099990e+00,9.788096294755099791e-01
-1.410356030984800002e+00,3.823217363061000018e+00,1.752575528869199983e+00,9.788096294755099791e-01
-1.382701991161600086e+00,3.803216066190899802e+00,1.772576825739399897e+00,9.788096294755099791e-01
-1.355047951338399947e+00,3.783214769320700110e+00,1.792578122609499891e+00,9.788096294755099791e-01
-1.327393911515200031e+00,3.763213472450599895e+00,1.812579419479700027e+00,9.788096294755099791e-01
-1.299739871691899973e+00,3.743212175580400203e+00,1.832580716349800021e+00,9.788096294755099791e-01
-1.272085831868700057e+00,3.723210878710299987e+00,1.852582013219999935e+00,9.788096294755099791e-01
-1.244431792045499918e+00,3.703209581840099851e+00,1.872583310090099928e+00,9.788096294755099791e-01
-1.216777752222200082e+00,3.683208284970000079e+00,1.892584606960300064e+00,9.788096294755099791e-01
-1.189123712398999944e+00,3.663206988099799943e+00,1.912585903830400058e+00,9.788096294755099791e-01
-1.161469672575800027e+00,3.643205691229700172e+00,1.932587200700599972e+00,9.788096294755099791e-01
-1.133815632752499969e+00,3.623204394359500036e+00,1.952588497570699966e+00,9.788096294755099791e-01
-1.106161592929300053e+00,3.603203097489399820e+00,1.972589794440900102e+00,9.788096294755099791e-01
-1.078507553106099914e+00,3.583201800619200128e+00,1.992591091311000095e+00,9.788096294755099791e-01
-1.050853513282800078e+00,3.563200503749099912e+00,2.012592388181199787e+00,9.788096294755099791e-01
-1.023199473459599940e+00,3.543199206878900220e+00,2.032593685051300003e+00,9.788096294755099791e-01
-9.955454336363600554e-01,3.523197910008800005e+00,2.052594981921500139e+00,9.788096294755099791e-01
-9.678913938131300521e-01,3.503196613138599869e+00,2.072596278791599911e+00,9.788096294755099791e-01
-9.402373539899000487e-01,3.483195316268500097e+00,2.092597575661800047e+00,9.788096294755099791e-01
-9.125833141666700454e-01,3.463194019398299961e+00,2.112598872531899818e+00,9.788096294755099791e-01
-8.849292743434300501e-01,3.443192722528200189e+00,2.132600169402099954e+00,9.788096294755099791e-01
-8.572752345202000468e-01,3.423191425658000053e+00,2.152601466272200170e+00,9.788096294755099791e-01
-8.296211946969700435e-01,3.403190128787899837e+00,2.172602763142399862e+00,9.788096294755099791e-01
-8.019671548737400402e-01,3.383188831917700146e+00,2.192604060012500078e+00,9.788096294755099791e-01
-7.743131150505000448e-01,3.363187535047599930e+00,2.212605356882700214e+00,9.788096294755099791e-01
-7.466590752272700415e-01,3.343186238177399794e+00,2.232606653752799986e+00,9.788096294755099791e-01
-7.190050354040400382e-01,3.323184941307300022e+00,2.252607950623000121e+00,9.788096294755099791e-01
-6.913509955808100349e-01,3.303183644437099886e+00,2.272609247493099893e+00,9.788096294755099791e-01
-6.636969557575800316e-01,3.283182347567000114e+00,2.292610544363300029e+00,9.788096294755099791e-01
-6.360429159343400363e-01,3.263181050696799979e+00,2.312611841233399801e+00,9.788096294755099791e-01
-6.083888761111100330e-01,3.243179753826700207e+00,2.332613138103599937e+00,9.788096294755099791e-01
-5.807348362878800296e-01,3.223178456956599991e+00,2.352614434973700153e+00,9.788096294755099791e-01
-5.530807964646500263e-01,3.203177160086399855e+00,2.372615731843899844e+00,9.788096294755099791e-01
-5.254267566414100310e-01,3.183175863216300083e+00,2.392617028714000060e+00,9.788096294755099791e-01
-4.977727168181800277e-01,3.163174566346099947e+00,2.412618325584200196e+00,9.788096294755099791e-01
-4.701186769949500244e-01,3.143173269476000176e+00,2.432619622454299968e+00,9.788096294755099791e-01
-4.424646371717200211e-01,3.123171972605800040e+00,2.452620919324500104e+00,9.788096294755099791e-01
-4.148105973484900177e-01,3.103170675735699824e+00,2.472622216194599876e+00,9.788096294755099791e-01
-3.871565575252500224e-01,3.083169378865500132e+00,2.492623513064800012e+00,9.788096294755099791e-01
-3.595025177020200191e-01,3.063168081995399916e+00,2.512624809934899783e+00,9.788096294755099791e-01
-3.318484778787900158e-01,3.043166785125199780e+00,2.532626106805099919e+00,9.788096294755099791e-01
-3.041944380555600125e-01,3.023165488255100009e+00,2.552627403675200135e+00,9.788096294755099791e-01
-2.765403982323200172e-01,3.003164191384899873e+00,2.572628700545399827e+00,9.788096294755099791e-01
-2.488863584090900138e-01,2.983162894514800101e+00,2.592629997415500043e+00,9.788096294755099791e-01
-2.212323185858600105e-01,2.963161597644599965e+00,2.612631294285700179e+00,9.788096294755099791e-01
-1.935782787626300072e-01,2.943160300774500193e+00,2.632632591155799950e+00,9.788096294755099791e-01
-1.659242389393900119e-01,2.923159003904300057e+00,2.652633888025900166e+00,9.788096294755099791e-01
-1.382701991161600086e-01,2.903157707034199841e+00,2.672635184896099858e+00,9.788096294755099791e-01
-1.106161592929300053e-01,2.883156410164000150e+00,2.692636481766200074e+00,9.788096294755099791e-01
-8.296211946969700435e-02,2.863155113293899934e+00,2.712637778636400210e+00,9.788096294755099791e-01
-5.530807964646500263e-02,2.843153816423699798e+00,2.732639075506499982e+00,9.788096294755099791e-01
-2.765403982323200172e-02,2.823152519553600026e+00,2.752640372376700117e+00,9.788096294755099791e-01
0.000000000000000000e+00,2.803151222683399890e+00,2.772641669246799889e+00,9.788096294755099791e-01
